rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,traffic_delay,speed_limit,lanes_affected
Road construction, entry/exit ramp closed,Pending,2018-06-28T11:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,BULLA-TULLAMARINE OUT RAMP ON,0 to 5 min,60,0
Road maintenance, road closed,Pending,2018-08-10T10:00:00,2018-09-13T20:00:00,Nightly works between 8:00pm and 6:00am. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,0 to 5 min,40,0
Road construction, lanes closed outbound,Pending,2018-08-15T10:00:00,2018-10-12T19:00:00,other daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,0
Road construction,1 lane closed outbound,Pending,2017-04-19T08:00:00,2018-08-30T23:30:00,Full week including weekends - Sunday to Saturday daily works from 06:00 PM to 09:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, entry/exit ramp closed,Active,2018-08-09T10:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,0
Road construction, entry/exit ramp closed,Pending,2018-08-16T10:00:00,2018-08-30T19:00:00,Weekdays only - Monday to Friday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE OUT-MICKLEHAM RAMP OF,0 to 5 min,60,0
Road construction,1 lane closed altona bound,Active,2017-06-26T10:30:00,2018-09-11T20:00:00,other daily works from 08:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2017-05-14T23:00:00,2018-08-31T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-07-09T10:00:00,2019-06-29T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,CORRIGAN ROAD ,6 to 10 min,40,3
Utility works, road closed,Pending,2018-06-16T23:30:00,2019-01-20T04:30:00,Road is closed for gas main renewal works. ,GLENCAIRN AVENUE ,0 to 5 min,40,2
Road maintenance,1 lane closed westbound,Pending,2017-11-02T23:00:00,2018-09-26T05:30:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,1
Road construction,2 lanes closed greensborough bound,Pending,2016-10-31T10:30:00,2018-09-11T19:00:00,"Up to two lanes closed Greensborough-bound on the EJ Whitten Bridge Friday and Saturday night (1 and 2 Sept) 8.30pm until 5.30am. Roadworks speed limit 40 km/h. Please allow an extra 10-15 minutes, if you're travelling through the area",WESTERN RING ROAD ,6 to 10 min,40,2
Road construction, road closed,Pending,2018-08-15T21:00:00,2019-06-30T09:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONS PARADE ,0 to 5 min,40,0
Road maintenance,1 lane closed inbound,Pending,2018-04-30T23:30:00,2018-12-31T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road construction, entry/exit ramp closed,Active,2018-07-06T11:30:00,2018-08-30T19:00:00,other daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BULLA-CALDER OUT RAMP ON,0 to 5 min,40,0
Road maintenance,1 lane closed outbound,Pending,2018-04-30T21:00:00,2018-12-31T04:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Utility works, entry/exit ramp closed,Pending,2018-07-25T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,KEILOR-CALDER OUT RAMP ON,6 to 10 min,40,0
Road construction,1 lane closed westbound,Pending,2018-08-01T10:00:00,2018-08-31T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2017-09-13T00:00:00,2018-08-30T06:00:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 04:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,60,1
Road maintenance,1 lane closed outbound,Pending,2017-09-12T22:00:00,2018-08-30T04:00:00,Weekdays only - Monday to Friday daily works from 08:00 AM to 02:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,60,1
Road construction, road closed,Pending,2018-06-26T14:00:00,2019-06-30T02:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 PM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,RAILWAY AVENUE ,0 to 5 min,0,0
Utility works,3 lanes closed southbound,Pending,2017-05-01T12:00:00,2019-04-29T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,3
Utility works,3 lanes closed southbound,Pending,2017-05-01T12:00:00,2019-04-29T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,3
Utility works, road closed,Pending,2017-10-10T11:00:00,2018-12-30T18:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,GEORGE STREET ,Greater than 10 min,40,0
Road construction,1 lane closed inbound,Pending,2017-04-18T14:00:00,2018-08-30T14:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-05-14T21:00:00,2018-08-30T07:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,SIMS STREET ,0 to 5 min,60,1
Road construction, expect delays,Pending,2017-11-23T22:00:00,2018-10-28T04:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,MILLEARA ROAD ,Greater than 10 min,40,0
Road construction,1 lane closed westbound,Pending,2018-08-22T10:00:00,2018-10-30T18:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed eastbound,Active,2018-08-22T10:00:00,2018-10-30T18:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed eastbound,Pending,2018-08-15T10:00:00,2018-10-12T18:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed greensborough bound,Active,2017-06-26T10:30:00,2018-09-11T20:00:00,One lane will be closed Greensborough-bound on the M80 Ring Road on Thursday night 9.30pm-5.30am near Sunshine Avenue. Please plan ahead and allow extra time. ,WESTERN RING ROAD ,0 to 5 min,40,1
Road maintenance,1 lane closed southbound,Pending,2018-07-19T23:30:00,2018-12-30T04:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,FRANKSTON FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed eastbound,Pending,2017-11-28T20:00:00,2018-11-26T02:00:00,other daily works from 07:00 AM to 01:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,BELL STREET ,Greater than 10 min,40,1
Road maintenance,1 lane closed westbound,Pending,2017-11-28T20:00:00,2018-11-26T02:00:00,other daily works from 07:00 AM to 01:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,BELL STREET ,Greater than 10 min,40,1
Road maintenance, road closed,Pending,2018-08-10T10:00:00,2018-09-13T20:00:00,other continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,0 to 5 min,40,0
Road construction, entry/exit ramp closed,Pending,2018-08-15T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,WESTERN RING IN-TULLAMARINE OUT RAMP ,6 to 10 min,60,0
Road construction,1 lane closed greensborough bound,Pending,2018-06-30T09:00:00,2018-09-02T19:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES IN-WESTERN RING OUT RAMP ,0 to 5 min,40,1
Road maintenance,all lanes closed westbound,Pending,2018-07-30T10:00:00,2018-09-18T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,BALLARAT ROAD ,6 to 10 min,40,0
Road maintenance,all lanes closed westbound,Pending,2018-07-30T10:00:00,2018-09-18T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,BALLARAT ROAD ,6 to 10 min,60,0
Road maintenance,all lanes closed eastbound,Pending,2018-07-30T10:00:00,2018-09-18T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,BALLARAT ROAD ,6 to 10 min,40,0
Sporting/social event, road closed,Pending,2018-03-01T13:00:00,2018-12-30T13:00:00,"Road closures in place before and after events at the sporting precinct which includes AAMI Park, Rod Laver Arena, Eastern Car Park and Hisense Arena. Traffic delay between 6 to 10 minutes. ",OLYMPIC BOULEVARD ,Greater than 10 min,40,1
Road construction, lanes closed eastbound,Pending,2018-06-28T12:00:00,2018-10-27T17:00:00,other daily works from 10:00 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road maintenance,1 lane closed outbound,Pending,2018-04-14T23:30:00,2019-04-15T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Sporting/social event, road closed,Pending,2018-05-05T14:00:00,2018-12-30T13:00:00,Melbourne and Olympic Park Events. Event speed limit 40 km/h. Traffic delay greater than 10 min. ,OLYMPIC BOULEVARD ,Greater than 10 min,40,0
Road construction, lanes closed southbound,Pending,2018-03-21T22:30:00,2019-02-17T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit nil. Traffic delay nil. ,PRINCES FREEWAY ,Nil,0,0
Road maintenance,1 lane closed both directions,Pending,2018-03-19T19:00:00,2018-09-30T09:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Road construction, lanes closed eastbound,Pending,2018-06-30T09:00:00,2018-10-27T17:00:00,"Daily works from 07:00 PM to 04:00 AM. Starting with a single lane closure, followed by a double and then triple lane closure later in the night.   Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ",WEST GATE FREEWAY ,0 to 5 min,40,0
Road construction, road closed,Active,2018-03-04T20:00:00,2019-04-17T21:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit nil. Traffic delay nil. ,HOWELL ROAD ,Nil,0,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,2
Road maintenance,2 lanes closed eastbound,Pending,2018-03-24T09:00:00,2019-03-23T18:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BURNLEY TUNNEL ,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,2
Road construction,1 lane closed southbound,Pending,2018-05-27T21:00:00,2018-10-31T06:30:00,Monday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,MAFFRA-ROSEDALE ROAD ,6 to 10 min,40,1
Road construction, road closed,Pending,2018-08-17T12:30:00,2018-08-25T18:30:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,TULLAMARINE FREEWAY ,6 to 10 min,40,0
Road construction,1 lane closed eastbound,Pending,2018-02-12T13:00:00,2018-09-22T14:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 80 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,80,1
Road construction, road closed,Active,2018-08-23T12:00:00,2018-08-23T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,TULLAMARINE FREEWAY ,Greater than 10 min,40,0
Road construction, entry/exit ramp closed,Pending,2018-08-23T10:00:00,2018-08-23T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,WESTERN RING IN-TULLAMARINE IN RAMP ,6 to 10 min,60,0
Road construction,1 lane closed both directions,Active,2018-06-07T20:00:00,2018-08-28T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PAYNESVILLE ROAD ,6 to 10 min,40,1
Road construction,1 lane closed both directions,Active,2018-06-07T20:00:00,2018-08-28T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PAYNESVILLE ROAD ,6 to 10 min,40,1
Road construction, entry/exit ramp closed,Active,2018-07-06T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,ENGLISH-TULLAMARINE IN RAMP ON,0 to 5 min,40,1
Road construction, road closed,Pending,2018-07-20T12:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MELBOURNE DRIVE ,0 to 5 min,40,0
Road construction,1 lane closed outbound,Pending,2018-07-03T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SUNBURY ROAD ,0 to 5 min,40,1
Road construction,1 lane closed both directions,Pending,2018-08-01T21:00:00,2018-11-30T06:00:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-08-17T21:00:00,2018-08-26T07:00:00,Asphalting works on Queensberry St. Both directions are closed beween Peel St and Elizabeth St from 7AM to 5PM on 25th and 26th of August. Traffic is advised to use Victoria St.,QUEENSBERRY STREET ,6 to 10 min,40,1
Road construction,3 lanes closed outbound,Pending,2018-06-03T09:00:00,2018-08-30T20:30:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 06:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,3
Road maintenance,1 lane closed inbound,Pending,2018-07-31T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction,3 lanes closed inbound,Pending,2018-06-03T08:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,3
Road construction,4 lanes closed inbound,Pending,2018-06-03T10:00:00,2018-08-30T18:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,4
Road construction, lanes closed outbound,Pending,2018-06-03T10:00:00,2018-08-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH OUT-SOUTH GIPPSLAND OUT RAMP OF,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,METROPOLITAN RING ROAD ,0 to 5 min,40,2
Road construction,3 lanes closed inbound,Pending,2018-07-04T08:30:00,2018-10-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 06:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,3
Road construction, road closed,Active,2018-05-24T21:00:00,2019-04-17T21:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay nil. ,SUTHERLAND ROAD ,Nil,60,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH OUT-SOUTH GIPPSLAND OUT RAMP OF,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road construction, road closed,Pending,2018-07-13T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE IN-WESTERN RING OUT RAMP ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,2
Road maintenance,1 lane closed outbound,Pending,2018-07-24T23:30:00,2018-08-31T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-06-02T14:00:00,2022-12-30T13:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit nil. Traffic delay nil. ,FOOTSCRAY ROAD ,Nil,0,0
Road maintenance, road closed,Pending,2018-07-12T14:00:00,2018-09-30T14:00:00,Weekdays only - Monday to Friday daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,FITZROY STREET ,6 to 10 min,40,0
Road maintenance,1 lane closed inbound,Pending,2018-08-07T23:30:00,2018-09-30T07:00:00,Monday to Saturday daily works from 09:30 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,JETTY ROAD ,0 to 5 min,40,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,2
Road maintenance, expect delays,Pending,2018-07-11T06:23:00,2018-12-21T07:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,MAIN ROAD ,6 to 10 min,40,0
Road construction,1 lane closed both directions,Pending,2018-07-09T20:00:00,2018-09-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-05-31T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road construction,2 lanes closed inbound,Pending,2018-07-11T10:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING IN-TULLAMARINE OUT RAMP ,0 to 5 min,40,2
Road construction,1 lane closed northbound,Pending,2018-05-06T20:30:00,2018-08-31T08:00:00,Monday to Saturday daily works from 06:30 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,60,1
Road maintenance, lanes closed westbound,Pending,2018-04-09T23:30:00,2018-10-10T05:00:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay nil. ,FRANKSTON FREEWAY ,Nil,40,0
Road maintenance,1 lane closed inbound,Pending,2018-04-14T23:30:00,2019-04-15T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-07-25T23:30:00,2018-08-30T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH OUT-SOUTH GIPPSLAND OUT RAMP OF,0 to 5 min,40,1
