rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,traffic_delay,speed_limit,lanes_affected
Road maintenance,3 lanes closed westbound,Pending,2015-12-09T10:00:00,2021-12-30T18:00:00,other daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,3
Road construction, road closed,Pending,2018-06-16T23:00:00,2019-01-24T22:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 09:00 AM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,LATROBE AVENUE ,0 to 5 min,0,0
Utility works,2 lanes closed westbound,Pending,2016-12-21T22:30:00,2019-12-31T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 60 km/h. Traffic delay nil. ,WESTERN RING ROAD ,Nil,60,2
Utility works,1 lane closed westbound,Pending,2017-08-09T23:30:00,2019-08-21T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,60,1
Utility works,1 lane closed both directions,Pending,2017-12-31T20:30:00,2018-12-31T04:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-04-11T21:00:00,2018-11-12T07:00:00,Monday to Saturday daily works from 07:00 AM to 06:00 PM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,CHURCH STREET ,0 to 5 min,0,1
Sporting/social event, road closed,Pending,2015-05-28T20:00:00,2020-05-28T16:00:00,Lane closures on Spencer St to allow for safe exit of pedestrians from Etihad Stadium during EVENTS ONLY. Check Etihad Stadium website for dates and times. ,SPENCER STREET ,6 to 10 min,40,0
Road construction,1 lane closed both directions,Pending,2017-06-13T14:00:00,2018-08-30T14:00:00,Wingrove St access closed from Grange Rd for Level Crossing Removal work.,GRANGE ROAD ,0 to 5 min,40,1
Utility works,1 lane closed both directions,Pending,2017-10-29T18:00:00,2018-10-29T18:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,DOUGLAS PARADE ,Greater than 10 min,40,1
Sporting/social event, road closed,Pending,2015-05-28T20:00:00,2020-05-29T08:00:00,Lane closures on Spencer St to allow for safe exit of pedestrians from Etihad Stadium during EVENTS ONLY. Check Etihad Stadium website for dates and times. ,SPENCER STREET ,6 to 10 min,40,0
Sporting/social event, road closed,Pending,2015-05-25T08:00:00,2020-05-28T16:00:00,Lane closures on Spencer St to allow for safe exit of pedestrians from Etihad Stadium during EVENTS ONLY. Check Etihad Stadium website for dates and times. ,SPENCER STREET ,6 to 10 min,40,0
Road maintenance,3 lanes closed northbound,Pending,2017-05-01T11:00:00,2019-04-29T19:00:00,other daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,3
Road maintenance,1 lane closed northbound,Pending,2017-11-29T22:30:00,2018-10-30T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,GEELONG RING ROAD ,0 to 5 min,40,1
Utility works,1 lane closed both directions,Pending,2018-03-26T18:00:00,2018-10-29T18:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,DOUGLAS PARADE ,Greater than 10 min,40,1
Sporting/social event, road closed,Pending,2015-05-28T20:00:00,2020-05-29T08:00:00,Lane closures on Spencer St to allow for safe exit of pedestrians from Etihad Stadium during EVENTS ONLY. Check Etihad Stadium website for dates and times. ,SPENCER STREET ,6 to 10 min,40,0
Utility works,all lanes closed both directions,Pending,2018-06-29T09:30:00,2018-09-15T20:00:00,Full week including weekends - Sunday to Saturday daily works from 07:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CAMP ROAD ,0 to 5 min,40,0
Road maintenance, ,Active,2018-01-28T23:00:00,2019-01-10T08:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,SWAN STREET ,Greater than 10 min,40,1
Road maintenance,1 lane closed northbound,Pending,2016-01-28T22:00:00,2019-01-28T04:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road construction, ,Pending,2018-07-03T23:30:00,2018-12-06T04:30:00,Plenty Road closed south of Mernda Village Drive each weekend for the next 3 weeks starting 09/09/2017 6:30am on Saturday to 8:00pm on Sunday (continuously). Detour via Schotters Road. Delays expected.,PLENTY ROAD ,0 to 5 min,40,1
Utility works,1 lane closed both directions,Pending,2018-04-09T20:30:00,2018-09-29T20:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,DOUGLAS PARADE ,Greater than 10 min,40,1
Road construction, road closed,Pending,2018-06-04T21:30:00,2018-08-30T07:30:00,Full week including weekends - Sunday to Saturday daily works from 07:30 AM to 05:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,GHAZEEPORE ROAD ,0 to 5 min,40,0
Road construction, road closed,Pending,2018-05-27T21:00:00,2018-11-30T06:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SOUTH GIPPSLAND HIGHWAY ,0 to 5 min,40,0
Road construction, expect delays,Pending,2018-05-04T21:00:00,2018-09-30T07:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,DANDENONG-HASTINGS ROAD ,6 to 10 min,40,2
Road maintenance,1 lane closed both directions,Pending,2018-06-14T21:00:00,2018-09-04T07:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-04-11T21:00:00,2019-07-06T07:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,HAMPTON STREET ,0 to 5 min,0,0
Utility works,2 lanes closed both directions,Pending,2018-05-04T14:00:00,2018-08-31T14:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,ESPLANADE  ,Greater than 10 min,40,2
Road construction, road closed,Pending,2018-04-10T21:00:00,2018-08-26T21:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 07:00 AM. Roadworks speed limit nil. Traffic delay nil. ,HORSESHOE BEND ROAD ,Nil,0,0
Road construction,2 lanes closed eastbound,Pending,2018-07-31T23:00:00,2018-08-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,DANDENONG ROAD E,Greater than 10 min,40,2
Utility works,1 lane closed southbound,Pending,2018-05-06T19:00:00,2018-11-29T18:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,DOUGLAS PARADE ,Greater than 10 min,40,1
Road construction, road closed,Pending,2018-06-28T10:30:00,2018-09-27T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,ROYAL PARADE ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-07-09T11:30:00,2019-06-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,HEATHERTON ROAD ,6 to 10 min,40,0
Utility works, road closed,Pending,2018-07-12T23:30:00,2018-09-13T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SACKVILLE STREET ,0 to 5 min,40,0
Road maintenance,1 lane closed southbound,Pending,2018-06-30T21:30:00,2018-10-01T06:30:00,other daily works from 07:30 AM to 04:30 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,LOWER PLENTY ROAD ,Greater than 10 min,40,1
Road construction, road closed,Pending,2018-08-19T23:00:00,2018-09-03T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,OVERTON ROAD ,0 to 5 min,40,2
Road maintenance, ,Pending,2018-07-09T23:30:00,2018-10-24T04:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,STATION STREET ,0 to 5 min,40,2
Road maintenance,1 lane closed westbound,Pending,2018-06-30T23:00:00,2018-10-30T03:00:00,other daily works from 09:00 AM to 02:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES HIGHWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed eastbound,Pending,2018-06-30T23:00:00,2018-09-01T06:00:00,other daily works from 09:00 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES HIGHWAY ,0 to 5 min,40,1
Utility works, road closed,Pending,2018-06-16T23:30:00,2018-11-06T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TOORAK ROAD ,0 to 5 min,40,2
Road construction,1 lane closed southbound,Pending,2018-05-10T20:00:00,2018-08-31T08:00:00,Monday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-05-20T23:30:00,2018-09-26T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,VICTORIA STREET ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-29T14:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-29T16:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 02:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,2
Utility works,1 lane closed northbound,Pending,2018-04-08T21:00:00,2018-10-04T21:00:00,Monday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,LINDENOW-GLENALADALE ROAD ,6 to 10 min,40,1
Road maintenance, road closed,Pending,2018-07-08T21:00:00,2018-08-31T07:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,GLENFERRIE ROAD ,0 to 5 min,60,0
Road maintenance,1 lane closed both directions,Pending,2018-07-01T11:00:00,2018-09-29T18:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,EASTERN FREEWAY ,0 to 5 min,40,1
Utility works, road closed,Pending,2017-10-05T19:00:00,2018-09-07T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,DARTS ROAD ,0 to 5 min,40,0
Road maintenance,1 lane closed inbound,Pending,2018-06-27T00:00:00,2018-12-30T03:00:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 02:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road maintenance,2 lanes closed westbound,Pending,2018-06-23T12:00:00,2018-09-29T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,EASTERN FREEWAY ,0 to 5 min,40,2
Road maintenance, road closed,Pending,2018-06-22T12:00:00,2018-09-29T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,EASTERN FREEWAY ,0 to 5 min,60,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,2
Utility works,1 lane closed southbound,Active,2018-08-07T08:00:00,2018-11-27T07:00:00,"Major Sewer Upgrade. 1 lane closed southbound on Spencer St at Lonsdale St, Bourke St and Flinders Lane from 6PM Tues 7 August 2018 to Nov 2018. Delay expected.People who would normally use Spencer St are advised to plan their journey as delays are expected. Traffic on Dynon Rd is also likely to be impacted.Footscray Rd, King St and Wurundjeri Way are alternative routes that will help minimise delays.",SPENCER STREET ,0 to 5 min,40,1
Road construction,1 lane closed both directions,Pending,2018-05-14T21:00:00,2018-08-31T07:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,40,1
Road construction, lanes closed eastbound,Pending,2018-05-21T23:00:00,2018-09-22T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,EASTERN FREEWAY ,0 to 5 min,60,0
Road construction, road closed,Active,2018-07-15T14:00:00,2018-08-31T02:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 50 km/h. Traffic delay nil. ,THE ESPLANADE  ,Nil,50,0
Road construction,1 lane closed westbound,Active,2018-08-03T11:00:00,2018-08-23T19:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,OHERNS ROAD ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-07-10T09:00:00,2019-06-29T20:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WILLESDEN ROAD ,0 to 5 min,40,1
Road construction, ,Pending,2018-07-31T23:00:00,2018-08-31T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,OVERTON ROAD ,Greater than 10 min,40,0
Utility works, road closed,Pending,2018-07-13T11:00:00,2018-11-21T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HIGH STREET ,0 to 5 min,40,0
Road maintenance,1 lane closed inbound,Pending,2018-06-26T23:30:00,2018-12-30T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-07-03T21:00:00,2018-10-14T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,KINGS WAY ,0 to 5 min,40,0
Road construction, road closed,Pending,2018-07-03T21:00:00,2018-09-03T09:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUNTINGDALE ROAD ,0 to 5 min,40,2
Road maintenance,1 lane closed northbound,Active,2018-01-17T20:00:00,2018-09-29T21:00:00,Monday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,SOUTH GIPPSLAND HIGHWAY ,Greater than 10 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-02-02T22:30:00,2019-02-03T04:00:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-29T14:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,EASTERN FREEWAY ,0 to 5 min,40,2
Road construction,1 lane closed both directions,Pending,2018-05-29T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-07-01T02:00:00,2019-06-30T02:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 PM to 12:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,EASTLINK  ,0 to 5 min,40,1
Road maintenance,1 lane closed northbound,Pending,2018-06-21T11:00:00,2018-08-25T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-08-10T20:00:00,2018-09-02T09:00:00,Weekend only - Saturday and Sunday daily works from 06:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BELGRAVE ROAD ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Pending,2018-08-07T20:00:00,2018-12-15T07:00:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PRINCES HIGHWAY ,6 to 10 min,40,2
Road construction, road closed,Pending,2018-08-24T09:00:00,2019-09-16T19:30:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,KOORNANG ROAD ,0 to 5 min,40,0
Road construction, road closed,Active,2018-08-17T20:00:00,2018-09-15T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,KOORNANG ROAD ,0 to 5 min,40,0
Utility works,1 lane closed both directions,Pending,2018-08-20T23:30:00,2018-10-24T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,GEELONG RING ROAD ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-08-09T23:30:00,2018-11-10T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MALVERN ROAD ,0 to 5 min,40,2
Utility works, road closed,Pending,2018-08-13T23:30:00,2018-10-15T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLAN ROAD ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-08-14T11:00:00,2018-10-14T18:00:00,other daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,40,1
Utility works,1 lane closed southbound,Pending,2018-08-14T11:00:00,2018-08-29T03:30:00,other daily works from 09:00 PM to 01:30 PM. Roadworks speed limit 40 km/h. Traffic delay nil. ,PRINCES FREEWAY ,Nil,40,1
Road construction, road closed,Pending,2018-07-29T09:00:00,2018-08-30T20:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 06:00 AM. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,LIGHTWOOD ROAD ,6 to 10 min,60,0
Road maintenance,1 lane closed southbound,Pending,2018-07-29T21:00:00,2018-08-30T07:30:00,Weekdays only - Monday to Friday daily works from 07:00 AM to 05:30 PM. Roadworks speed limit 60 km/h. Traffic delay nil. ,HUME FREEWAY ,Nil,60,1
Road construction,2 lanes closed southbound,Pending,2018-08-10T20:30:00,2018-08-26T07:00:00,"City Road south bound carriageway closure at Power St due to tower crane dismantle works, only one lane open for north bound traffic. Works happens on 25 and 26 August. Traffic delay 6 to 10 min. ",CITY ROAD ,6 to 10 min,40,2
Road maintenance, road closed,Pending,2018-07-31T23:30:00,2018-12-03T04:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BUCKLEY STREET ,0 to 5 min,40,1
Road maintenance,1 lane closed northbound,Pending,2018-07-30T11:00:00,2018-09-29T19:00:00,other daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2018-08-01T00:00:00,2019-08-24T05:00:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-08-01T20:00:00,2018-08-25T08:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,POATH ROAD ,0 to 5 min,40,0
Road maintenance,1 lane closed both directions,Pending,2018-08-01T00:00:00,2018-08-24T05:00:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance,2 lanes closed southbound,Pending,2018-08-18T21:00:00,2018-08-26T07:00:00,Bay St closed WB between Graham St to Rouse St on Sunday 19/08/2018 from 7am - 5pm. Traffic is being diverted via Graham St. ,BAY STREET ,6 to 10 min,40,2
Sporting/social event, road closed,Pending,2018-08-17T20:00:00,2019-08-18T04:30:00,Event from 06:00 AM to 02:30 PM. Event speed limit nil. Traffic delay 0 to 5 min. ,KAY STREET ,0 to 5 min,0,2
Road construction, road closed,Pending,2018-07-20T20:00:00,2018-09-05T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 05:00 PM. Roadworks speed limit nil. Traffic delay 6 to 10 min. ,BURKE ROAD ,6 to 10 min,0,0
Utility works, road closed,Pending,2018-07-29T21:00:00,2018-11-30T05:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,VICTORIA PARADE ,0 to 5 min,40,0
Road maintenance, road closed,Pending,2018-08-05T22:00:00,2018-11-06T06:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 AM to 05:00 PM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,BARKERS ROAD ,0 to 5 min,0,0
Road construction, road closed,Pending,2018-07-31T21:00:00,2019-05-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,NORTH ROAD ,0 to 5 min,40,0
Road construction, road closed,Active,2018-08-16T14:00:00,2018-09-27T14:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit nil. Traffic delay 6 to 10 min. ,SEAFORD ROAD ,6 to 10 min,0,0
Utility works,1 lane closed eastbound,Pending,2018-05-25T01:00:00,2018-10-22T18:00:00,City West Water replaces existing sewer on Alexandra Pde. 1 west bound traffic lane closed from 11:00 AM to 08:00 PM weekdays and 7:00AM to 7:00PM weekends. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,ALEXANDRA PARADE ,6 to 10 min,40,1
Road construction, road closed,Pending,2018-07-24T11:00:00,2018-08-23T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SEAFORD ROAD ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-08-02T20:00:00,2019-02-03T08:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,PRINCES HIGHWAY ,Greater than 10 min,40,1
